gene	genename	zscore	effect_size	pvalue	pred_perf_R2	n_snps_used	n_snps_in_model
ENSG00000012061	ERCC1	-26.004212212492	-593.852646398065	0	0.0289633643882511	121	133
ENSG00000134243	SORT1	-22.5437761070216	-966.910620853675	0	0.0167172227826251	9	9
ENSG00000182149	IST1	-8.3355586898587	-357.776909945082	0	0.0148855217984485	4	4
ENSG00000198670	LPA	7.61438679269306	163.102551767633	2.64233079860787e-14	0.0603076219356165	53	56
ENSG00000148400	NOTCH1	-7.0522821272466	-66.6608670491204	1.76014758324072e-12	0.0867036220911215	20	21
ENSG00000014641	MDH1	-6.04955305167317	-5215.36419733395	1.45248235661199e-09	0.0117912079259114	7	7
ENSG00000167074	TEF	-5.7163282011461	-338.346415873615	1.08850410907024e-08	0.0382862836505357	2	2
ENSG00000000971	CFH	-5.47433909317277	-31.2607136386088	4.39147456177125e-08	0.114679737670826	10	13
ENSG00000134365	CFHR4	5.46887202149669	12.9688544505939	4.5290861061531e-08	0.502621036862897	5	5
ENSG00000157978	LDLRAP1	5.45456037195179	185.740860904746	4.90941538533463e-08	0.0580798246488224	2	2
ENSG00000100147	CCDC134	5.16643948841264	322.786121417024	2.38595398771579e-07	0.0147426922560157	2	2
ENSG00000099985	OSM	-5.07456150650877	-116.607643541469	3.88390590577714e-07	0.0332933532595388	28	29
ENSG00000132256	TRIM5	-4.9587248229513	-15.7839192275027	7.09573902080152e-07	0.0412459499031674	12	13
ENSG00000100852	ARHGAP5	-4.76840069139884	-1352.76859051539	1.85694170196093e-06	0.0213827566700994	16	16
ENSG00000115884	SDC1	-4.69264754676913	-1318.36413363168	2.69691894461133e-06	0.0234222269095572	3	3
ENSG00000089234	BRAP	-4.66556065666597	-19266.9487090627	3.07776685137817e-06	0.0403916173169035	2	2
ENSG00000143278	F13B	4.45953293282524	9.48624640721831	8.21384522087243e-06	0.174300916014659	9	11
ENSG00000198951	NAGA	4.15602707798737	110.748791942557	3.23829461248426e-05	0.0337284141923059	5	6
ENSG00000130559	CAMSAP1	4.07860835594785	400.983891390834	4.53060852712017e-05	0.0118081501817676	50	54
ENSG00000130427	EPO	4.00425105177729	115.930818979189	6.22142680313242e-05	0.0184962401238688	78	80
ENSG00000054267	ARID4B	-3.89440198856928	-44.5024850837441	9.84412841902316e-05	0.0186659622383418	44	46
ENSG00000111252	SH2B3	3.87309940523841	59.5863779920556	0.000107459971680823	0.0264402172495794	27	27
ENSG00000156642	NPTN	-3.73751189757254	-179.7214178217	0.000185850298187074	0.0259822599999476	43	43
ENSG00000130202	NECTIN2	3.72364919670061	71.1612143376683	0.000196363729248583	0.0133133699915844	4	5
ENSG00000109758	HGFAC	-3.62957437634175	-28.4011770018209	0.000283888926749576	0.213258822754907	50	53
ENSG00000106244	PDAP1	3.60473225540943	14.5346616745973	0.000312474901356774	0.0296761715271578	31	33
ENSG00000111057	KRT18	3.55790778738828	218.127475295306	0.000373820490085386	0.0344749013461267	1	1
ENSG00000067208	EVI5	3.55678140632589	31.9733986235804	0.00037542629341103	0.0976866866072175	3	3
ENSG00000130208	APOC1	-3.54750201749508	-121.382635495504	0.000388902773129418	0.0261836815841027	6	8
ENSG00000188716	DUSP29	3.48170050473709	960.797468056687	0.000498240612405665	0.0386801969114929	8	8
ENSG00000197081	IGF2R	-3.4349692713055	-3.82420852143907	0.000592621023854267	0.222007273706178	58	61
ENSG00000196502	SULT1A1	3.35946341588306	90.5198732509754	0.000780939904089006	0.0363893490479424	15	17
ENSG00000141505	ASGR1	3.31815781069007	72.6836726721055	0.000906132736222531	0.0904356371585338	49	50
ENSG00000181374	CCL13	3.27951694131507	12980.6308773555	0.00103984966658621	0.0280318484680684	5	5
ENSG00000116396	KCNC4	3.24331052580731	1211.3152089738	0.00118149365192632	0.0180603652835697	30	33
ENSG00000001617	SEMA3F	-3.22984694792134	-84.6582064667631	0.00123856502456832	0.103274933155457	22	22
ENSG00000185264	TEX33	3.21814707365768	25.2847810186536	0.00129021642134997	0.0128809220653118	5	5
ENSG00000161955	TNFSF13	-3.15945716287533	-62.6423816345973	0.00158063334786251	0.0518746295505129	47	48
ENSG00000107902	LHPP	3.15223629501507	192.10378761668	0.00162025097901997	0.0393993367466491	5	5
ENSG00000130787	HIP1R	-3.14813854609478	-36.7160915295485	0.00164313794452386	0.0185199939578206	25	26
ENSG00000177575	CD163	3.1365673302711	18.6208498085542	0.0017093818230085	0.0438413534161617	10	11
ENSG00000132855	ANGPTL3	3.10658940490073	118.31809810698	0.00189259069037551	0.0196589818282837	42	42
ENSG00000118960	HS1BP3	-3.10189431698891	-46.8153828828278	0.00192286592169877	0.0259350085461482	116	120
ENSG00000173726	TOMM20	-3.03375842939533	-148.634226606401	0.00241527746556947	0.0154918420482203	45	49
ENSG00000076706	MCAM	-3.01481045467923	-49.5604867626195	0.00257139897993963	0.0113409772672089	5	5
ENSG00000223953	C1QTNF5	-2.99892415357687	-715.551945741544	0.00270934744337858	0.0126477687864894	20	22
ENSG00000115966	ATF2	-2.99611545858313	-14462.9112613326	0.0027344287802229	0.0199968927931695	7	7
ENSG00000105329	TGFB1	2.97698182410175	10.2357921108269	0.00291101267449911	0.0623689227030246	211	222
ENSG00000123843	C4BPB	2.95545405798131	35.6903758630394	0.00312209191707113	0.0612266423882706	34	36
ENSG00000113594	LIFR	-2.95403560543348	-37.3929823222629	0.00313647816271523	0.0620085507372928	45	47
ENSG00000168539	CHRM1	-2.94898113038008	-177.30522982699	0.00318823441863492	0.0159744971511098	32	33
ENSG00000136448	NMT1	2.94659695841781	57.1336529533303	0.00321291674611279	0.0322870236953604	16	16
ENSG00000184489	PTP4A3	-2.92480106933759	-152.42799085836	0.00344676484262507	0.0202061768852464	15	15
ENSG00000130038	CRACR2A	2.91184517485567	567.187281986258	0.00359300679099084	0.0314285672459176	11	11
ENSG00000166106	ADAMTS15	-2.90663476067441	-59.4092929048132	0.00365339495490491	0.0168018508306117	115	117
ENSG00000103056	SMPD3	2.87903021429481	187.032356732042	0.00398900115235978	0.0518160422367615	1	1
ENSG00000169919	GUSB	-2.86082681765559	-95.7605571633514	0.0042253779654311	0.0297249052334045	6	6
ENSG00000104765	BNIP3L	2.82501901406173	157.728183076339	0.00472778103898452	0.0382198483846958	1	1
